Address,Bedrooms,Bathrooms,Agent Name,Building,Price,Organization,Area Code,Phone Number,Property Type
"Lot 2 PORTER ROAD|Smiths Falls, Ontario K7A4S6",3 + 0,2,Tom Barker,House,"$684,900",ROYAL LEPAGE TEAM REALTY,613,298-5510,"$684,900"
"29A VIRGIL ROAD|Nepean, Ontario K2H6B6",4 + 0,3,Lisa Hiemstra,House,"$699,900",PURPLEBRICKS,866,336-9637,"$699,900"
"20A TADLEY PRIVATE|Nepean, Ontario K2J2T3",2 + 0,2,Lisa Hiemstra,House,"$464,900",PURPLEBRICKS,866,336-9637,"$464,900"
"110 CORTILE PRIVATE UNIT#102|Ottawa, Ontario K1V2S8",2 + 0,2,Trevor Mayhew,Apartment,"$579,900",CENTURY 21 SYNERGY REALTY INC.,613,868-0755,"$579,900"
"Lot 49 BATHURST CONCESSION 6 ROAD|Perth, Ontario K7H3L9",3 + 0,1,Tom Barker,House,"$599,900",ROYAL LEPAGE TEAM REALTY,613,298-5510,"$599,900"
"11 BOYDS LANDING LANE|Merrickville, Ontario K0G1N0",,0,Robin Chinkiwsky,,"$1,695,000",3.5 REALTY LTD.,613,269-2222,"$1,695,000"
"657 Ch. du 6e-Rang|Gatineau (Gatineau), Quebec J8R3A5",3,1,Mélanie Cyr,House,"$424,900",RE/MAX VISION,819,246-0969,"$424,900"
"11 BOYDS LANDING LANE|Merrickville, Ontario K0G1N0",2 + 0,2,Robin Chinkiwsky,House,"$1,695,000",3.5 REALTY LTD.,613,269-2222,"$1,695,000"
"1216 WILLOWDALE AVENUE|Ottawa, Ontario K1H7S6",,0,Jillian Jarvis,,"$880,000",ROYAL LEPAGE TEAM REALTY,613,850-4663,"$880,000"
"1 1re Rue|Gatineau (Gatineau), Quebec J8V3Z1",3,1,Michael Monette,Mobile Home,"$99,900",RE/MAX DIRECT INC. - Gatineau,613,447-4403,"$99,900"
"364 Boul. St-René O.|Gatineau (Gatineau), Quebec J8P2W2",3,1,Véronique Lacroix,House,"$319,900",FLASH IMMOBILIER INC./FLASH REAL ESTATE INC.,819,921-3105,"$319,900"
"1216 WILLOWDALE AVENUE|Ottawa, Ontario K1H7S6",3 + 0,2,Jillian Jarvis,House,"$880,000",ROYAL LEPAGE TEAM REALTY,613,850-4663,"$880,000"
"Lot 6 PINERY ROAD|Montague, Ontario K7A4S6",3 + 0,2,Rob Anderson,House,"$644,900",RE/MAX AFFILIATES REALTY LTD.,613,229-9800,"$644,900"
"Lot 19 NOLANS ROAD|Montague, Ontario K7C4P2",3 + 0,2,Rob Anderson,House,"$834,900",RE/MAX AFFILIATES REALTY LTD.,613,229-9800,"$834,900"
"1105 IRENE PLACE|Ottawa, Ontario K4M1E9",3 + 0,2,Franco Ippolito,House,"$799,988",RE/MAX HALLMARK REALTY GROUP,613,222-1633,"$799,988"
"12 Imp. des Iris|Gatineau (Gatineau), Quebec J8R2C1",,,Jean-Yves Plouffe,,"$199,900",RE/MAX VISION - Hull,819,328-3683,"$199,900"
"199 Rue du Châtelet|Gatineau (Masson-Angers), Quebec J8M1X3",3,1,Jacques Brouillette,House,"$279,900",Century 21 ® Élite,819,360-7944,"$279,900"
"Lot 4 PINERY ROAD|Montague, Ontario K7C4P2",3 + 0,2,Rob Anderson,House,"$739,900",RE/MAX AFFILIATES REALTY LTD.,613,229-9800,"$739,900"
"Lot 44 NOLANS ROAD|Montague, Ontario K7C4P2",3 + 0,2,Rob Anderson,House,"$709,900",RE/MAX AFFILIATES REALTY LTD.,613,229-9800,"$709,900"
"Lot 3 RODNEY LANE|Winchester, Ontario K0A2M0",,0,Jeffrey Usher,,"$150,000",GRAPE VINE REALTY INC.,613,829-1000,"$150,000"
"710 GUARDIAN GROVE|Ottawa, Ontario K1X0B2",3 + 0,3,Tieseer Alzubi,Row / Townhouse,"$699,900",INNOVATION REALTY LTD.,613,276-5883,"$699,900"
"7 BETHUNE WAY|Kanata, Ontario K2K1C1",3 + 0,3,Joey Abrams,Row / Townhouse,"$399,900",ROYAL LEPAGE PERFORMANCE REALTY,613,606-6406,"$399,900"
"515 Boul. de la Gappe|#303|Gatineau (Gatineau), Quebec J8T8R8",2,1,Roch St Jacques,Apartment,"$284,900",RE/MAX DIRECT INC. - Gatineau,819,213-4740,"$284,900"
"141 CRANESBILL ROAD|Stittsville, Ontario K2V0J4",4 + 0,3,Andrea Zhang,Row / Townhouse,"$649,000",ESTEEM REALTY INC.,613,878-8177,"$649,000"
"1016 CEDAR CREEK DRIVE|Ottawa, Ontario K1X0G4",3 + 0,3,Dulaksha Herath,Row / Townhouse,"$569,000",RIGHT AT HOME REALTY INC.,613,851-5279,"$569,000"
"807 LONGFIELDS DRIVE|Ottawa, Ontario K2J5N2",0 + 2,3,Philip Parnanzone,House,"$349,900",BLUE PANDA REALTY INC.,613,795-7804,"$349,900"
"COUNTY ROAD 20 ROAD|Oxford Station, Ontario K0G1T0",,0,Jaime Peca,,"$250,000",RE/MAX AFFILIATES REALTY LTD.,613,326-1818,"$250,000"
"133 BROADWAY AVENUE|Ottawa, Ontario K1S2V7",4 + 0,2,Stephanie Cartwright,House,"$1,165,000",ENGEL & VOLKERS OTTAWA CENTRAL,613,296-6708,"$1,165,000"
"3700 UPPER DWYER HILL ROAD|Ottawa, Ontario K0A2H0",2 + 2,3,Terri Patton,House,"$599,999",KELLER WILLIAMS INTEGRITY REALTY,613,805-3555,"$599,999"
"158 HERRIOTT STREET|Carleton Place, Ontario K7C2A9",3 + 0,1,Robin Ferrill,House,"$394,900",COLDWELL BANKER HERITAGE WAY REALTY INC.,613,222-1489,"$394,900"
"579 WILD SHORE CRESCENT|Ottawa, Ontario K1V1T4",3 + 0,2,Rahim Rasooli,Row / Townhouse,"$619,900",RE/MAX HALLMARK REALTY GROUP,613,853-3587,"$619,900"
"472 ARORA CRESCENT|Winchester, Ontario K0C2K0",3 + 0,3,Ross Tavel,House,"$699,000",RE/MAX ABSOLUTE REALTY INC.,613,218-2400,"$699,000"
"152 Boul. de Lucerne|#101|Gatineau (Hull), Quebec J9A3V8",2,1,Stéphane Chénier,Apartment,"$350,000",Royal LePage Vallée de l'Outaouais,819,210-7126,"$350,000"
"1431 Boul. Maloney E.|Gatineau (Gatineau), Quebec J8P1J7",4,1,Dominic LeSieur,House,"$289,900",RE/MAX VISION,819,930-1191,"$289,900"
"4354 WELDON DRIVE|Ottawa, Ontario K1J8R2",3 + 0,2,Philippe Major,Row / Townhouse,"$364,000",ROYAL LEPAGE PERFORMANCE REALTY,613,314-9547,"$364,000"
"849 MONTCREST DRIVE|Ottawa, Ontario K4A3C2",4 + 0,3,Pierre Acouri,House,"$749,900",RE/MAX HALLMARK REALTY GROUP,613,266-3355,"$749,900"
"89 Rue du Carcajou|Gatineau (Aylmer), Quebec J9J0X7",3,2,Natacha Paquette,House,"$399,900",RE/MAX DIRECT INC.,819,593-3473,"$399,900"
"2718 DUPONT STREET|Ottawa, Ontario K1V8N3",1 + 3,3,Perry Paul,House,"$1,149,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,859-7037,"$1,149,000"
"20 ACKLAM TERRACE|Kanata, Ontario K2K2G9",3 + 0,2,Dan Orr,House,"$639,900",RE/MAX HALLMARK REALTY GROUP,613,277-5058,"$639,900"
"402 COUNTRY STREET|Almonte, Ontario K0A1A0",3 + 0,2,Robin Ferrill,House,"$619,900",COLDWELL BANKER HERITAGE WAY REALTY INC.,613,222-1489,"$619,900"
"50 PORTER STREET|Stittsville, Ontario K2S2L9",3 + 0,3,Susan Frendt,Row / Townhouse,"$699,000",COLDWELL BANKER FIRST OTTAWA REALTY,613,985-4205,"$699,000"
"1245 SURREY AVENUE|Ottawa, Ontario K1V6T1",2 + 0,2,Rhys Williams,House,"$399,900",CENTURY 21 SYNERGY REALTY INC,613,261-3573,"$399,900"
"1106 TAFFY LANE|Ottawa, Ontario K1C1Y5",3 + 0,2,Jenna Swinwood,House,"$500,000",RE/MAX HALLMARK JENNA & CO. GROUP REALTY,613,699-2079,"$500,000"
"636 MUTUAL STREET|Ottawa, Ontario K1K3S4",,0,Paul J. McLaughlin,,"$399,000",FIRST CHOICE REALTY ONTARIO LTD.,613,277-6303,"$399,000"
"6173 VINEYARD DRIVE|Orleans, Ontario K1C2N7",3 + 0,3,Yetta (Jette) Dekker,House,"$630,000",SOLID ROCK REALTY,613,860-4663,"$630,000"
"62 WOODROFFE AVENUE|Ottawa, Ontario K2A3T6",3 + 0,3,Christopher Avalos,House,"$799,900",EXP REALTY,613,853-9431,"$799,900"
"2871 RICHMOND ROAD UNIT#716|Ottawa, Ontario K2B8M5",2 + 0,2,Ross Tavel,Apartment,"$289,900",RE/MAX ABSOLUTE REALTY INC.,613,218-2400,"$289,900"
"830 LAWNSBERRY DRIVE|Orleans, Ontario K1E1X7",3 + 0,2,Mario Cyr,House,"$499,000",RE/MAX HALLMARK REALTY GROUP,613,677-0588,"$499,000"
"150 Rue Alexandre|Thurso, Quebec J0X3B0",5,2,Joëlle Lafrance,House,"$539,900",RE/MAX VISION,819,923-9558,"$539,900"
"1380 PRINCE OF WALES DRIVE UNIT#106|Ottawa, Ontario K2C3N5",3 + 0,1,Heidi Aguilar Romero,Apartment,"$339,900",EXP REALTY,613,889-8867,"$339,900"
"180 YORK STREET UNIT#306|Ottawa, Ontario K1N1J6",1 + 0,1,Kevin Saunders,Apartment,"$339,900",TRU REALTY,613,299-7100,"$339,900"
"#1501 -1285 CAHILL DR|Ottawa, Ontario K1V9A7",2,1,MENA BISHAY,Apartment,"$299,900",INSIDER REALTY,416,549-5070,"$299,900"
"273 Rue des Becs-Scie|Gatineau (Masson-Angers), Quebec J8M0C3",3,1,Jean-Michel Brisebois,House,"$399,900",FLASH IMMOBILIER INC./FLASH REAL ESTATE INC.,819,918-8858,"$399,900"
"808 CLAUDE STREET|Ottawa, Ontario K1K3S4",4 + 0,3,Paul J. McLaughlin,House,"$785,000",FIRST CHOICE REALTY ONTARIO LTD.,613,277-6303,"$785,000"
"615 CLOTHIER STREET|Kemptville, Ontario K0G1J0",2 + 2,2,Melissa Hamilton,House,"$525,000",INNOVATION REALTY LTD.,613,227-1670,"$525,000"
"9 BANNER ROAD UNIT#E|Ottawa, Ontario K2H8T3",2 + 1,2,Jun Yu,Row / Townhouse,"$319,900",COLDWELL BANKER SARAZEN REALTY,613,850-8888,"$319,900"
"14 NORICE STREET UNIT#104|Ottawa, Ontario K2G2X4",1 + 0,2,Meghan Kennedy,Apartment,"$350,000",FIRST CHOICE REALTY ONTARIO LTD.,613,203-2348,"$350,000"
"504 BOUNDARY ROAD|Mountain, Ontario K0E1S0",2 + 0,2,Antonella Holmes,House,"$485,000",ROYAL LEPAGE TEAM REALTY,613,769-1516,"$485,000"
"484-486 GLADSTONE STREET|Winchester, Ontario K0C2K0",5 + 2,2,Antonella Holmes,House,"$424,900",ROYAL LEPAGE TEAM REALTY,613,769-1516,"$424,900"
"461 Rue de Cannes|#301|Gatineau (Gatineau), Quebec J8V4E6",2,1,Josée Savoie,Apartment,"$365,000",VIA CAPITALE DIAMANT,819,360-1834,"$365,000"
"907 5e Rang O.|Lochaber-Partie-Ouest, Quebec J0X3B0",3,1,Michel Godbout,House,"$699,900",PROPRIO DIRECT,819,360-7709,"$699,900"
"747 RIVER ROAD|Burritts Rapids, Ontario K0G1J0",3 + 0,3,James Wright,House,"$1,595,000",ROYAL LEPAGE TEAM REALTY,613,692-0606,"$1,595,000"
"808 SHASTA STREET|Ottawa, Ontario K1T0L3",4 + 0,3,Alenka Patapovich,House,"$899,900",RIGHT AT HOME REALTY INC.,613,884-6899,"$899,900"
"11 WEST HERRINGTON COURT|Ottawa, Ontario K2H6B9",3 + 1,2,Jennifer Petric,House,"$899,900",ROYAL LEPAGE TEAM REALTY,613,889-5555,"$899,900"
"4486 HARPER AVENUE|Ottawa, Ontario K1J1E1",0 + 2,2,Terry Cayen,House,"$449,900",ROYAL LEPAGE TEAM REALTY,613,794-6873,"$449,900"
"700 MALEY STREET|Kemptville, Ontario K0G1J0",3 + 0,3,Jill Dulmage,House,"$549,900",ROYAL LEPAGE TEAM REALTY,613,620-0011,"$549,900"
"517 DEVONWOOD CIRCLE|Ottawa, Ontario K1T4E4",3 + 0,3,Shabby Nabipour,Row / Townhouse,"$599,900",IDEAL PROPERTIES REALTY,613,709-9070,"$599,900"
"159 MCCLINTOCK WAY|Ottawa, Ontario K2L2A5",3 + 0,2,Michael Romain,Row / Townhouse,"$359,900",FIRST CHOICE REALTY ONTARIO LTD.,613,277-1598,"$359,900"
"300 EVERGLADE WAY|Ottawa, Ontario K2M2R7",3 + 0,3,Abhishek Bhateja,House,"$699,900",ROYAL LEPAGE TEAM REALTY,613,863-3132,"$699,900"
"638 BLUEGILL AVENUE|Nepean, Ontario K2J5Y8",4 + 0,3,Miguel Levesque,Row / Townhouse,"$649,900",ONE PERCENT REALTY LTD.,613,219-6008,"$649,900"
"53 MOONBEAM STREET|Ottawa, Ontario K2J0K6",3 + 0,3,Shauna Moran,House,"$769,900",RE/MAX AFFILIATES BOARDWALK,613,868-9898,"$769,900"
"863 Boul. Wilfrid-Lavigne|Gatineau (Aylmer), Quebec J9J1Z2",4,2,Joanna Jasinska,House,"$445,000",RE/MAX VISION - Hull,819,351-5151,"$445,000"
"130 Ch. Fraser|#A|Gatineau (Aylmer), Quebec J9H3W7",2,1,Julie Séguin,Apartment,"$299,900",RE/MAX DIRECT INC.,819,923-7687,"$299,900"
"120 Ch. Fraser|#A|Gatineau (Aylmer), Quebec J9H0G8",2,1,Marty Waite,Apartment,"$299,900",RE/MAX DIRECT INC.,819,665-0033,"$299,900"
"884 Ch. Filion|L'Ange-Gardien, Quebec J8L0H4",4,1,Mélanie Séguin,House,"$299,900",RE/MAX VISION,819,210-2191,"$299,900"
"474 LAWLER CRESCENT|Ottawa, Ontario K4A3Y4",3 + 0,2,Matt Carkner,Row / Townhouse,"$484,500",RE/MAX DELTA REALTY TEAM,613,862-0862,"$484,500"
"1697 HARVEST CRESCENT|Ottawa, Ontario K1C1V3",4 + 0,2,Julie Serre-Matthews,Row / Townhouse,"$559,900",SUTTON GROUP - OTTAWA REALTY,613,806-4663,"$559,900"
"3719 WOODKILTON ROAD|Dunrobin, Ontario K0A3M0",,0,Hamid Riahi,,"$1,399,000",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$1,399,000"
"3719 WOODKILTON ROAD|Dunrobin, Ontario K0A3M0",5 + 0,2,Hamid Riahi,House,"$1,399,000",POWER MARKETING REAL ESTATE INC.,613,860-7355,"$1,399,000"
"3815 NAVAN ROAD|Navan, Ontario K4B1H9",3 + 0,1,Josee Leger,House,"$599,000",GRAPE VINE REALTY INC.,613,668-5174,"$599,000"
"1433 WELLINGTON STREET W UNIT#503|Ottawa, Ontario K1Y2X4",2 + 0,2,Amy McGuire,Apartment,"$539,900",SUTTON GROUP - OTTAWA REALTY,613,883-6742,"$539,900"
"109 ROMINA STREET|Ottawa, Ontario K2S0H8",3 + 0,3,Josh West,Row / Townhouse,"$579,900",KELLER WILLIAMS INTEGRITY THE WEST TEAM REALTY,613,282-5674,"$579,900"
"149 OVERBERG WAY|Ottawa, Ontario K2S0V8",4,3,MUHAMMAD YAHYA,Row / Townhouse,"$724,900",PROPERTY.CA INC.,416,583-1660,"$724,900"
"1401 LOWEN DRIVE|Ottawa, Ontario K1V1H3",3 + 0,1,James Wright,House,"$799,000",ROYAL LEPAGE TEAM REALTY,613,692-0606,"$799,000"
"1279 Rue des Hirondelles|Gatineau (Gatineau), Quebec J8R1A5",3,2,Nicole Létourneau,House,"$349,900",Royal LePage Vallée de l'Outaouais,819,319-3383,"$349,900"
"83 Rue Sherbrooke|Gatineau (Hull), Quebec J8Y2L2",3,1,Maxime Rosarion,House,"$389,900",VIA CAPITALE DIAMANT,819,360-2142,"$389,900"
"24 Rue Papineau|Gatineau (Hull), Quebec J8X1T0",1,1,René La Salle,Duplex,"$449,900",Royal LePage Vallée de l'Outaouais,819,664-3163,"$449,900"
"1825 MARSALA CRESCENT UNIT#104|Orleans, Ontario K4A2E6",1 + 0,1,Abdul Laayar,House,"$319,900",PURPLEBRICKS,866,336-9637,"$319,900"
"55 B TAUVETTE STREET|Ottawa, Ontario K1B3A2",4 + 0,2,Barb Paquette,House,"$495,000",ROYAL LEPAGE PERFORMANCE REALTY,613,834-8855,"$495,000"
"926 MOSES TENNISCO STREET|Ottawa, Ontario K1K4Z9",3 + 0,3,Anh Kim Tran,Row / Townhouse,"$674,900",RE/MAX HALLMARK REALTY GROUP,613,236-5959,"$674,900"
"7795 FLEWELLYN ROAD|Ottawa, Ontario K0A1B0",3 + 0,3,Elizabeth Laplante,House,"$839,700",CENTURY 21 SYNERGY REALTY INC.,613,266-0641,"$839,700"
"1401 LOWEN DRIVE|Ottawa, Ontario K1V1H3",3 + 0,1,James Wright,House,"$799,000",ROYAL LEPAGE TEAM REALTY,613,692-0606,"$799,000"
"476 ST PIERRE ROAD|Vars, Ontario K0A3H0",3 + 1,3,Claudette Leduc,House,"$1,299,900",CENTURY 21 ACTION POWER TEAM LTD.,613,371-3871,"$1,299,900"
"26 KYLE AVENUE|Ottawa, Ontario K2S1G9",5 + 0,4,Josh West,House,"$989,000",KELLER WILLIAMS INTEGRITY THE WEST TEAM REALTY,613,282-5674,"$989,000"
"1248 ANOKA STREET|Ottawa, Ontario K1V6C6",3 + 0,4,Mike Robinson,House,"$750,000",ROYAL LEPAGE TEAM REALTY,613,791-2550,"$750,000"
"300C LETT STREET UNIT#615|Ottawa, Ontario K1R0A8",2 + 0,2,Anna Ostapyk,Apartment,"$799,900",RE/MAX HALLMARK REALTY GROUP,613,227-8410,"$799,900"
"2630 SOUTHVALE CRESCENT UNIT#515|Ottawa, Ontario K1B4S8",2 + 0,2,Guy Lacroix,Apartment,"$299,900",DETAILS REALTY INC.,613,850-3592,"$299,900"
"75 WINGOVER PRIVATE|Carp, Ontario K0A1L0",2 + 0,2,Jordan Goodfellow,House,"$674,900",ROYAL LEPAGE TEAM REALTY,613,408-6961,"$674,900"
"92 BROUGHTON STREET|Kanata, Ontario K2K3N4",4 + 0,4,Nim Moussa,House,"$1,099,000",RE/MAX HALLMARK REALTY GROUP,613,298-6461,"$1,099,000"
"1332 ESSEX STREET|Ottawa, Ontario K1H7P2",3 + 0,2,Ben Racicot,House,"$600,000",ROYAL LEPAGE TEAM REALTY,613,291-8552,"$600,000"
"8471 MARIONVILLE ROAD|Winchester, Ontario K0C2K0",4 + 0,3,Linda Williams,House,"$648,800",ROYAL LEPAGE TEAM REALTY,613,297-3705,"$648,800"
"42 SADDLEHORN CRESCENT|Kanata, Ontario K2M2A9",3 + 0,2,Mike Robinson,House,"$650,000",ROYAL LEPAGE TEAM REALTY,613,791-2550,"$650,000"
"400 HARVEST VALLEY AVENUE|Orleans, Ontario K4A0V6",0 + 2,2,Teresa Whitmore,House,"$399,900",RE/MAX HALLMARK REALTY GROUP,613,899-4776,"$399,900"
"654 Boul. Labrosse|Gatineau (Gatineau), Quebec J8R2S5",,,Mathieu Arseneault,,"$99,900",RE/MAX DIRECT INC. - Gatineau,819,664-0629,"$99,900"
"2951 BIRCHGROVE ROAD|Cumberland, Ontario K0A3E0",3 + 1,2,David Darling,House,"$899,900",RE/MAX DELTA REALTY TEAM,613,866-2252,"$899,900"
"4347 INNES ROAD|Ottawa, Ontario K1C1T1",,0,Akram Syed,,"$1,200,000",ROYAL STAR REALTY INC.,613,276-0398,"$1,200,000"
"1139-1135 Rue Jacques-Cartier|Gatineau (Gatineau), Quebec J8T2W3",3,1,Guillaume Venne,House,"$529,000",RE/MAX VISION,819,208-7557,"$529,000"
"216 LEATHER LEAF TERRACE|Ottawa, Ontario K2J5Z7",2 + 0,4,Christopher Hollands,Row / Townhouse,"$549,900",RE/MAX HALLMARK REALTY GROUP,613,797-3977,"$549,900"
"516 GALMOY WAY|Ottawa, Ontario K2J6V1",2 + 0,2,Trevor Mayhew,Row / Townhouse,"$498,000",CENTURY 21 SYNERGY REALTY INC.,613,868-0755,"$498,000"
"216 LEATHER LEAF TERRACE|Ottawa, Ontario K2J5Z7",2 + 0,4,Christopher Hollands,Row / Townhouse,"$549,900",RE/MAX HALLMARK REALTY GROUP,613,797-3977,"$549,900"
"139 BRIDGESTONE DRIVE|Ottawa, Ontario K2M0A6",3 + 0,3,Dennis Tarrant,Row / Townhouse,"$624,900",ROYAL LEPAGE TEAM REALTY,613,875-9714,"$624,900"
"20 Rue Walker|Gatineau (Buckingham), Quebec J8L3Y7",3,2,Judith Poirier-Vannier,House,"$319,900",RE/MAX DIRECT INC. - Gatineau,819,210-6027,"$319,900"
"203 CATHERINE STREET UNIT#515|Ottawa, Ontario K2P1C3",1 + 0,1,Brad J. Lamb,Apartment,"$499,900",BRAD J. LAMB REALTY INC.,416,368-5262,"$499,900"
"273 ENCLAVE WALK|Ottawa, Ontario K1W0J5",3 + 0,3,Steven Saab,House,"$799,000",FIRST CHOICE REALTY ONTARIO LTD.,613,863-5886,"$799,000"
"1936 HEATHERWOOD DRIVE|Ottawa, Ontario K1W1C3",3 + 0,4,Irene Bilinski,House,"$699,900",RE/MAX HALLMARK REALTY GROUP,613,858-1151,"$699,900"
"111 CHAMPAGNE AVENUE S UNIT#1810|Ottawa, Ontario K1S5V3",1 + 0,1,Sarah Hunter,Apartment,"$399,900",ENGEL & VOLKERS OTTAWA CENTRAL,613,889-0171,"$399,900"
"102 MAYER STREET|Limoges, Ontario K0A2M0",3 + 0,3,Barbara Koch,House,"$585,000",BULAT REALTY INC.,613,858-1919,"$585,000"
"50 FAIR OAKS CRESCENT|Nepean, Ontario K2G0W5",3 + 0,2,Kim Vo,House,"$575,000",ROYAL LEPAGE TEAM REALTY,613,255-2128,"$575,000"
"300 FENERTY COURT UNIT#1|Ottawa, Ontario K2L3A8",0 + 3,2,Lisa Bertrand,House,"$349,900",RE/MAX HALLMARK REALTY GROUP,613,266-4496,"$349,900"
"135 SWITCH GRASS CRESCENT|Ottawa, Ontario K2J5Z3",4 + 0,3,Dimitrios Kalogeropoulos,House,"$699,880",ROYAL LEPAGE TEAM REALTY AGENT DK,613,883-8823,"$699,880"
